Portuguese Verb,eu,tu,"você, ela, ele",nós,"vocês, elas, eles",English Translation
viajar,viajo,viajas,viaja,viajamos,viajam,to travel
visitar,visito,visitas,visita,visitamos,visitam,to visit
viver,vivo,vives,vive,vivemos,vivem,to live
acreditar,acredito,acreditas,acredita,acreditamos,acreditam,to believe
correr,corro,corres,corre,corremos,correm,to run
dar,dou,dás,dá,damos,dão,to give
jogar,jogo,jogas,joga,jogamos,jogam,to play (games/sports)
odiar,odeio,odeias,odeia,odiamos,odeiam,to hate
partir,parto,partes,parte,partimos,partem,to leave / to depart
perder,perco,perdes,perde,perdemos,perdem,to lose
poder,posso,podes,pode,podemos,podem,to be able to / can
querer,quero,queres,quer,queremos,querem,to want
saber,sei,sabes,sabe,sabemos,sabem,to know (facts)
sentir,sinto,sentes,sente,sentimos,sentem,to feel
tocar,toco,tocas,toca,tocamos,tocam,to touch / to play (instrument)
trazer,trago,trazes,traz,trazemos,trazem,to bring
vir,venho,vens,vem,vimos,vêm,to come
dizer,digo,dizes,diz,dizemos,dizem,to say / to tell
pôr,ponho,pões,põe,pomos,põem,to put
haver,hei,hás,há,havemos,hão,to have / there to be
preferir,prefiro,preferes,prefere,preferimos,preferem,to prefer
divertir,divirto,divertes,diverte,divertimos,divertem,to amuse / have fun
rir,rio,ris,ri,rimos,riem,to laugh
sorrir,sorrio,sorris,sorri,sorrimos,sorriem,to smile
cair,caio,cais,cai,caímos,caem,to fall
servir,sirvo,serves,serve,servimos,servem,to serve
mentir,minto,mentes,mente,mentimos,mentem,to lie
valer,valho,vales,vale,valemos,valem,to be worth
medir,meço,medes,mede,medimos,medem,to measure
